# SOC2 Trust Services Criteria — Mapping to StackSentry Posture Board Checks
# Format: CHECK_ID|CONTROL_ID|CONTROL_NAME|FRAMEWORK
1.1|CC6.1|Logical and Physical Access Controls — MFA on privileged accounts|SOC2
1.2|CC6.1|Logical and Physical Access Controls — Root key management|SOC2
1.3|CC6.1|Logical and Physical Access Controls — Password complexity|SOC2
1.4|CC6.1|Logical and Physical Access Controls — Password complexity|SOC2
1.5|CC6.3|Role-Based Access and Least Privilege — Policy management|SOC2
1.6|CC6.1|Logical and Physical Access Controls — User MFA|SOC2
2.1|CC6.1|Logical and Physical Access Controls — S3 public access|SOC2
2.2|CC6.1|Logical and Physical Access Controls — S3 policy access|SOC2
2.3|CC6.7|Data Protection — Encryption at rest|SOC2
2.4|CC7.4|Incident Response and Recovery — Data versioning|SOC2
2.5|CC7.2|Monitoring Activities — Access logging|SOC2
3.1|CC7.2|Monitoring Activities — Audit trail|SOC2
3.2|CC7.2|Monitoring Activities — Log integrity|SOC2
3.3|CC6.7|Data Protection — Log encryption|SOC2
3.4|CC7.2|Monitoring Activities — Network flow logging|SOC2
3.5|CC7.2|Monitoring Activities — Configuration tracking|SOC2
4.1|CC6.6|Network Security — SSH access control|SOC2
4.2|CC6.6|Network Security — RDP access control|SOC2
4.3|CC6.6|Network Security — Default VPC isolation|SOC2
4.4|CC6.6|Network Security — VPC segmentation|SOC2
